"contrast","HR","HR_lower","HR_upper","p_value","source"
"age",0.99,0.96,1.02,0.6,"univariate"
"gender",NA,NA,NA,NA,"univariate"
"Male",NA,NA,NA,NA,"univariate"
"Female",1.02,0.44,2.36,0.9,"univariate"
"hpv",NA,NA,NA,NA,"univariate"
"No",NA,NA,NA,NA,"univariate"
"Unknown",1.07,0.48,2.37,0.9,"univariate"
"smoking",NA,NA,NA,NA,"univariate"
"No",NA,NA,NA,NA,"univariate"
"Yes",1.21,0.53,2.74,0.7,"univariate"
"alcohol",NA,NA,NA,NA,"univariate"
"No",NA,NA,NA,NA,"univariate"
"Yes",0.76,0.34,1.73,0.5,"univariate"
"response",NA,NA,NA,NA,"univariate"
"Responder",NA,NA,NA,NA,"univariate"
"Non-Responder",2.17,0.96,4.92,0.063,"univariate"
"stratification",NA,NA,NA,NA,"univariate"
"Intermediate",NA,NA,NA,NA,"univariate"
"High",2.67,1.11,6.42,0.028,"univariate"
"ihc",NA,NA,NA,NA,"univariate"
">20",NA,NA,NA,NA,"univariate"
"1-19",0.88,0.31,2.51,0.8,"univariate"
"0",0.82,0.27,2.51,0.7,"univariate"
"tf",NA,NA,NA,NA,"univariate"
"Low",NA,NA,NA,NA,"univariate"
"High",0.51,0.23,1.15,0.1,"univariate"